id,parsedContent
a60 ,황홀 아들 하다 여행 아들 샷 여자 소년 다낭 바다 이쁘다 우산 있다 해변 10개월 아기 해외여행 베트남 무더위 얼굴 있다 하현달 
a61 ,황홀 귀엽다 검은색 하트 해맑다 미소 짓다 눈 웃다 얼굴 
a62 ,황홀 꼬까옷 예뿌다 
a63 ,황홀 신혼 여행 막 날 가다 우 붓 재래 시장 날씨 덥다 쇼핑 광인 장 코기 달러 루피아 챙기다 아줌마 흥정 하다 즐겁다 
a64 ,황홀 예쁘다 꽃 가족 마실 연꽃 여름휴가 무더위 혜성 
a65 ,기대 프라도 미술관 눈 호강 완 죤 행복 다용 나 화 되다 프라도 미술관 무더위 혜성 여름 휴가 중 휴식 행복 작품 감상 최고 엄지 올리다 손 기호 
a66 ,기대 계곡 물 차갑다 사원 하트 눈 웃다 얼굴 좋다 저녁 시간 하트 
a67 ,기대 5월 아침 저녁 일교차 크다 것 같다 감기 조심 하다 
a68 ,기대 오랜만 세차 앞 하다 세차 세차 중 다가오다 자동차 샤워 여름 무더위 혜성 도씨 땀 땀 
a69 ,기대 작년 휴가 가다 때 산 모 쓰다 거 누구 기쁨 눈물 흘리다 얼굴 엄마 아들 커플 일상 이하원 엄마 휴무 
a70 ,기대 신난 아들 키스 날리다 얼굴 눈 감다 채 하다 얼굴 하다 얼굴 크다 놀다 하트 무더위 혜성 에버랜드 야간 즐기다 덥다 덥다 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 사람 많다 공포 비명 지르다 얼굴 팬더 월드 키즈 크다 로스트 벨리 스카이 크루즈 나름 불금 고압 전류 기호 
a71 ,기대 미치다 위경련 사진 먹다 나 사랑 가든 나 병 찜 꽁 
a72 ,중립 무더위 무더위 냉면 
a73 ,땀 소나기 
a74 ,기대 괜찮다 비 오다 맑다 보다 가깝다 디 
a75 ,기대 오늘 하트 눈 웃다 얼굴 키스 날리다 얼굴 눈 감다 채 키스 얼굴 무더위 얼굴 있다 하현달 탈출 힐링 하트 하트 즈 불토 고압 전류 기호 고압 전류 기호 고압 전류 기호 뜨겁다 얼굴 있다 하현달 주말 보내다 
a76 ,기대 고산자 대동여지도 팬 보내다 떡 케이크 9월 개봉 무더위 얼굴 있다 하현달 건강 유의 
a77 ,기대 인라인 수업 듣다 날씨 6월 있다 대회 위하다 
a78 ,기대 2018년 4월 20일 22일 무더위 얼굴 있다 하현달 물놀 천문대 캠핑 그램 나 물 들어가다 
a79 ,기대 보다 징하다 것 내 먹다 
a80 ,기대 날씨 좋다 업무 하다 소풍 가다 
a81 ,기대 밖 온도 저렇다 입다 유치원 가시다 보내다 땀띠 너 몫 누구 닮다 저러다 크다 뭐 되다 기대 
a82 ,기대 대구 불토 여자 글 무더위 프리카 마지막 기운 털다 영혼 끌다 모으다 즐기다 
a83 ,기대 후쿠오카 이치 라멘 오오이시 스미요시 점 유후인 맛집 아사이 맥주 먹다 놀다 힐링 여행 무더위 혜성 땀 삐다 좋다 내년 어디 
a84 ,기대 남다 뜨다 가다 포옹 얼굴 포옹 얼굴 
a85 ,기대 아이스 아메리카노 마시다 
a86 ,기대 최고 덥다 빙수 먹다 입 벌리다 눈 감다 채 웃다 얼굴 
a87 ,기대 대민 지원 2일 차 강팀 무더위 혜성 찜통 팔 이후 힘 내자 힘 밝다 미소 수재민 힘내다 
a88 ,기대 행선지 없다 여수 가다 전주 가다 발길 닿다 곳 발자국 나이트 끝 나다 어머님 선물 옷 입다 여행 출발 손뼉 치다 손 기호 
a89 ,기대 좋 따다 재다 놀다 칭 
a90 ,기부 시간 이태원 나 놀다 
a91 ,기대 일 즐기다 하다 다음 놀다 가다 겨울 가다 필수 
a92 ,기대 홀몸 가다 우리 몸 사진 보다 승리 하다 손 미소 짓다 눈 웃다 얼굴 
a93 ,기대 주말 나 파주 묘목 용궁 칼국수 엄지 올리다 손 기호 용궁 칼국수 방문 무더위 혜성 신세계 아울렛 파주 점 지혜 숲 파주 데이트 코스 마블 전 마지막 노랑 통닭 청라 
a94 ,기대 맛집 장어 찜 엄지 올리다 손 기호 여름날 일상 맛있다 가다 
a95 ,기대 고구마 김치 부추김치 여름 김치 무더위 혜성 인친 하트 팔 손 들다 축하 사람 
a96 ,제천 월악산 국립 공원 송계 계곡 아이 어제 사진 여름휴가 인친 하트 8월 무더위 혜성 풍경 샷 
a97 ,기대 김여사 좋다 곳 구경 옹 
a98 ,황홀 삼계탕 무더위 혜성 몸보신 이두박근 야탑 맛집 분당 맛있다 삼계탕 맛스타 그램 
a99 ,기대 무더위 혜성 몸보신 가다 
a100 ,보다 하다 시원하다 하트 눈 웃다 얼굴 땀 
a101 ,무더위 혜성 아버님 계곡 위탈 출물 뿜다 고래 애 놀다 좋다 
a102 ,나 
a103 ,뜬금 여름 오다 낯설다 해 오랜만 무더위 얼굴 있다 하현달 
a104 ,날씨 나다 씨 
a105 ,야경 좋다 엄지 올리다 손 기호 홍콩 여행 구룡반도 홍콩 섬 홍콩 무더위 얼굴 있다 하현달 
a106 ,하트 먹다 쉬다 여행 카오산 로드 방콕 무더위 얼굴 있다 하현달 
a107 ,싱가포르 여행 유 니버 셜 스튜디오 소라 껍데기 센토사 섬 낙엽수 모노레일 워터 프론트 역 미니언 즈 슈렉 스타 벅스 비보이 강남스타일 음표 헐리우드 거리 무더위 얼굴 있다 하현달 리틀 인디아 
a108 ,헝가리 물가 싸다 데 야경 이쁘다 좋다 것 뭐 헝가리 부다페스트 야경 유디 동행 국회의사당 비셰그라드 무더위 근교 장미 존 맛 
a109 ,언니 10분 기다리다 줄 알다 제한 끊다 그러다 밝다 살색 남성 기호 
a110 ,건물 이용 센스 있다 온도 표시 도씨 무더위 혜성 북해 코카 콜라 
a111 ,무더위 혜성 덥다 대학원 교육 대학원 종강 빈타 카페 분위기 좋다 카페 요번 학기 빠르다 종강 죠다 포옹 얼굴 포옹 얼굴 
a112 ,덥다 애기 데리다 고생 여자 소년 소년 
a113 ,보다 것 시원하다 겉 하다 얼음 
a114 ,주말 가족 나 무더위 혜성 수락산 계곡 시원하다 엄지 올리다 손 기호 검은색 하트 
a115 ,브리 라인 승리 하다 손 무더위 혜성 데이트 여행 준비 중 비행기 일상 
a116 ,덥다 덥다 그러다 좋다 입 벌리다 식은땀 흘리다 웃다 얼굴 입 벌리다 식은땀 흘리다 웃다 얼굴 
a117 ,어지럽다 정도 덥다 날씨 땀 딸래미 좋다 어디 입 벌리다 눈 감다 채 웃다 얼굴 입 벌리다 눈 감다 채 웃다 얼굴 
a118 ,재미있다 행복 보이다 
a119 ,원더 우먼 페스티벌 로하스 우리 가족 부천 건어물 딸 손 들다 여자 여성 기호 키스 자국 안영미 춤 선글라스 쓰다 웃다 얼굴 기억 내년 무더위 얼굴 있다 하현달 평생 하다 그램 박나래 디 잉 엄지 올리다 손 기호 세상 어색 
a120 ,좋다 사람 맛나다 거 먹다 포토 타임 드러내다 웃다 얼굴 삼덕동 맛집 파스타 스파게티 마르다 피자피자 조각 방천 시장 카페인 먹스 그램 무더위 얼굴 있다 하현달 
a121 ,오빠 두껍다 하트 느낌표 장식 신혼 부부 그램 연인 하트 무더위 혜성 덥다 죽다 기쁨 눈물 흘리다 얼굴 더위 피해 카페 저녁 집 만들다 두부김치 볶음 예약 완료 
a122 ,이페이 예 혼자 여행 엄지 올리다 손 기호 여행 동행자 무더위 혜성 
a123 ,버스 정류장 어디 가다 수 있다 청라 시대 나르다 오후 구름 무더위 혜성 푸르다 태양 노래 
a124 ,오늘 시원하다 
a125 ,휴가 덕숭산 수덕사 소원 성취 기원 손 모으다 사람 띠 팔찌 뱀 수덕사 맛집 더덕구이 정식 무더위 혜성 
a126 ,수영 끝 음표 폭염 피하다 아파트 산책 길 상록수 크리스마스 트리 묘목 
a127 ,발가락 벌어지다 서응 삥 되다 자랑 나오다 얼굴 월미도 해수 족욕 무더위 혜성 발자국 
a128 ,무더위 혜성 충전 커피 비다 헤이즐 아이스 블 렌디 드 케익 조각 케이크 힘 힘 
a129 ,자국 빨갛다 대만 육복 촌 꿀 잼 꿀단지 
a130 ,방콕 힐링 무더위 얼굴 있다 하현달 빨갛다 맛 빠빠 빨갛다 맛 궁금하다 맛있다 
a131 ,잔 귀엽다 이태원 루프 탑 낮술 중독 무더위 얼굴 있다 하현달 
a132 ,분노 다낭 성당 보다 것 없다 무더위 얼굴 있다 하현달 올해 겨울 없다 추위 느끼다 
a133 ,중립 오늘 아이스커피 잘다 피 손잡이 없다 찻잔 땀 땀 
a134 ,분노 코스모스 축제 꽃 콧바람 눈치 게임 실패 기쁨 눈물 흘리다 얼굴 무더위 얼굴 있다 하현달 오랫만 부부 샷 연인 하트 
a135 ,분노 팔공산 동명 동호회 30도 무더위 얼굴 있다 하현달 여름 덥다 덥다 짜증 
a136 ,분노 화창 일요일 오후 장마 소나기 무더위 얼굴 있다 하현달 
a137 ,분노 덥다 기절 자킨토스 밝다 살색 여성 기호 커피 메뉴 실패 무표정 얼굴 
a138 ,분노 덥다 미치다 세부 살 세부 게스트 하우스 무더위 얼굴 있다 하현달 불쾌지수 상승 
a139 ,분노 혼자 놀다 스타 그램 일상 스타 그램 무더위 얼굴 있다 하현달 4월 데일리 일 싫다 다리 미학 봄봄 
a140 ,분노 루프 탑 것 데 덥다 나가다 
a141 ,분노 완전 눈물 흘리다 얼굴 인내 얼굴 바다미 술제 다대포 낙조 분수 무더위 얼굴 있다 하현달 반쪽 연인 하트 빵 검은색 하트 
a142 ,분노 호텔 근처 볕 걷다 가다 브레이크 타임 
a143 ,분노 이거 재밌다 줄 길다 기억 덥다 
a144 ,분노 웡 벌레 저리 짜증 나잉 
a145 ,분노 무덥다 날씨 배낭 메다 
a146 ,분노 날씨 진심 눈 감다 채 키스 고양이 얼굴 
a147 ,분노 대전역 사회 가족 동반 대전 제주 대전 미세먼지 마스크 하다 얼굴 무더위 혜성 사람 죽다 덥다 
a148 ,분노 덥다 수 없다 혜성 
a149 ,분노 덥다 실화 운동 쓰러지다 춥다 하다 덥다 
a150 ,분노 무더위 혜성 눕다 방해 비키다 길 막 
a151 ,분노 간만 책상 치우다 앉다 데 방해 얌 
a152 ,분노 30도 넘다 땡볕 이거 찍다 나 따다 타들어가다 쥴 말 하다 알아듣다 여름 끝나다 
a153 ,분노 아메리카노 사발 들이켜다 되다 
a154 ,분노 누구 오다 무더위 혜성 
a155 ,분노 토요일 오후 혜성 미련 외출 무더위 혜성 덥다 땀 조단 개고생 표정 보다 짜증 모드 
a156 ,분노 밖 통화 숨 막히다 줄 
a157 ,분노 오빠 고속도 운전 백 넘다 달리다 뜨다 온몸 경직 빨개지다 얼굴 날씨 리얼 밖 서다 전류 기호 
a158 ,분노 덥다 임산부 운전 시키다 차 타다 좋다 긴장 좋다 
a159 ,분노 다대포 데이 키스 얼굴 오늘 날씨 가을 초여름 무표정 얼굴 
a160 ,분노 흐리다 날씨 맑다 하늘 그립다 덥다 여름 싫다 어쩌다 
a161 ,분노 2년 전 추억 찾다 충이 
a162 ,분노 주말 낚시 낚싯대 물고기 짬 낚다 경주 제지 봄 배스 산란기 배스 산란장 리그 무더위 얼굴 있다 하현달 덥다 광합성 덥다 사람 죽다 
a163 ,분노 부부 쿠마 부부 스타 그램 노 필터 여행 스타 그램 반미 짱 맛 무더위 얼굴 있다 하현달 누구 호이안 10월 가을 하다 호이안 맛집 
a164 ,분노 루지 때문 더위 
a165 ,분노 덥다 덥다 덥다 덥다 덥다 자동차 김해 뽀로로 빌리지 뽀로로 무더위 혜성 여름 방학 가을 오다 곳 아들 그램 
a166 ,려 무더위 혜성 더위 조심 해피 금요일 커지다 하트 모이 정 오늘 메뉴 국수 데이 볶음밥 
a167 ,려 근로자 날 엄지 올리다 손 기호 노동절 마라톤 가족 하다 마라톤 종합 운동장 다리 아프다 운동 부족 울다 얼굴 미세먼지 마스크 하다 얼굴 무더위 얼굴 있다 하현달 땀범벅 
a168 ,려 무더위 얼굴 있다 하현달 쪄죽다 줄 공포 비명 지르다 얼굴 여시 토깽이 토끼 얼굴 매력 하트 
a169 ,려 시작 41도 시작 무더위 얼굴 있다 하현달 
a170 ,려 광저우 워터 파크 무더위 얼굴 있다 하현달 물 공포증 공포 비명 지르다 얼굴 두려워하다 얼굴 
a171 ,려 봄 여름 날씨 남쪽 내려오다 뿐 울산 울산 무섭다 무더위 얼굴 있다 하현달 
a172 ,려 덥다 지구 화나다 
a173 ,려 뭉치 치다 얼굴 기나길다 여정 오늘 달리다 버스 안 철도 차량 기쁨 눈물 흘리다 얼굴 여기 덥다 니트 가디건 챙기다 무더위 얼굴 있다 하현달 숙취 어지럽다 어지럽다 하다 얼굴 피 술 셔 일기장 그램 일상 꿀 연휴 꿀단지 
a174 ,려 베트남 죽다 거 같다 더위 익다 익다 
a175 ,려 집 앞 나오다 들어가다 뙤 앙 볕 노인 쓰러지다 무섭다 따다 
a176 ,려 날씨 32도 실화 여름 거 실화 
a177 ,려 온몸 부어 배 더미 슈크림 일상 무더위 혜성 큰일 이당 
a178 ,려 폭염 무더위 혜성 미치다 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 
a179 ,려 내일 입추 덥다 되다 기쁨 눈물 흘리다 얼굴 땀 5분 걷다 아이스커피 뜨겁다 음료 5분 걷다 자몽 이드 섭취 열대 음료 
a180 ,려 피치 리치 블 렌디 드 복숭아 덥다 피신 피곤 하다 얼굴 
a181 ,려 몸 상태 비상 아이스 아메리카노 음표 아프다 되다 
a182 ,려 오빠 간병인 덥다 땀 무더위 혜성 죽다 따다 죽다 뜨다 
a183 ,려 늠 덥다 욜 울다 얼굴 살리다 세다 
a184 ,려 덥다 날 무신 관절 녹다 
a185 ,려 덥다 부산 죽다 뻔 부산 여행 부산 여행 급 여행 힐링 해운대 인생 샷 기장 웨이브 오다 커피 바다 뷰 무더위 얼굴 있다 하현달 쪄죽다 듯 땀범벅 땀 데일리 일상 셀피 
a186 ,려 덥다 보이다 조심 
a187 ,려 살찌다 되다 꽃길 걷다 나이 먹다 꽃 보이다 무궁화 마시다 손 잡다 남자 여자 감나무 군것질 돼지 뒤늦다 무더위 얼굴 있다 하현달 
a188 ,려 덥다 사람 많다 택시 타다 오다 사람 많다 죽다 것 같다 
a189 ,려 그날 열일 오빠 덥다 시 고생 많다 
a190 ,기대 홍콩 덥 지여 더위 조심 하세오 
a191 ,려 날씨 덥다 혈액 순환 되다 것 쓰러지다 
a192 ,려 무더위 혜성 더위 조심 땀 짓다 눈 웃다 얼굴 모이 정 오늘 메뉴 불고기 황태 미역국 후암동 직장인 
a193 ,기부 무더위 얼굴 있다 하현달 불면증 
a194 ,기부 걸어가다 꽃 보다 덥다 죽다 줄 
a195 ,려 더위 피신 다니다 서다 땀 나다 조심 
a196 ,려 근로자 날 여권 만료 신규 발급 무더위 얼굴 있다 하현달 옷차림 주 입 벌리다 식은땀 흘리다 웃다 얼굴 
a197 ,려 전류 기호 무더위 혜성 덥다 입 벌리다 식은땀 흘리다 얼굴 짓다 눈 웃다 얼굴 모이 정 오늘 메뉴 불고기 제육 
a198 ,려 귀신 집 체험 무섭다 무섭다 연극 새싹 페이퍼 무더위 혜성 
a199 ,기부 똥 더미 똥 더미 덥다 엄지 내리다 손 기호 밝다 살색 
a200 ,기부 점심 나가다 살 타들어가다 쥴 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 
a201 ,기부 너 도 날씨 덥다 그늘 쉬다 하다 세부 덥다 나라 덥다 께 물 속 들다 갓다 힙 색 매고 가다 
a202 ,기부 울산 날씨 봄 26도 인내 얼굴 침 흘리다 얼굴 공포 비명 지르다 얼굴 지구 아프다 
a203 ,기부 무더위 얼굴 있다 하현달 속 강해 군 지치다 우리 시장 쇼핑 하다 피신 피신 
a204 ,기부 홍콩 여행 소호 거리 무더위 얼굴 있다 하현달 지침 지치다 얼굴 
a205 ,기부 사진 찍다 사다 것 사규 
a206 ,기부 지치다 보이다 오늘 
a207 ,기부 벚꽃 지지다 우울 있다 무더위 벚꽃 짐 우울 
a208 ,기부 보다 이민호 무더위 혜성 시 너 덥다 
a209 ,기부 가다 휴일 즐겁다 주말 손가락 펼치다 들다 올리다 손 주말 휴일 공휴일 일 시작 세다 스타 그램 낮 밤 얼굴 있다 태양 무더위 혜성 셀피 카메라 
a210 ,기부 웅 뷰 이쁘다 근대 사람 많다 평일 
a211 ,기부 오늘 
a212 ,기부 원숭이띠 원숭이 얼굴 공주 쁘띠프랑스 무더위 혜성 들어가다 지 30분 만 나오다 구르다 웃다 얼굴 
a213 ,기부 몸 무겁다 저녁 보쌈 먹다 소화 대다 
a214 ,기부 여름 감기 감기 목소리 잃어버리다 실망 안심 얼굴 
a215 ,기부 덕평 해수욕장 제주도 무더위 혜성 
a216 ,기부 익숙하다 풍경 정겹다 날씨 내일 무더위 얼굴 있다 
a217 ,기부 점심 무더위 
a218 ,기부 몸살 걸리다 엉망 뻔 여행 와이프 챙기다 오다 기운 내다 덥다 꿉꿉하다 되다 것 없다 
a219 ,기부 결혼기념일 다낭 여행 
a220 ,기부 덥다 무더위 얼굴 있다 하현달 짜뚜짝 시장 카오산 로드 팟타이 조조 팟타이 엄지 올리다 손 기호 인생 팟타이 발견 땀 땀 방콕 여행 
a221 ,기부 더위 지치다 우리 커플 
a222 ,기부 아침 무더위 혜성 발리 여행 스타 그램 
a223 ,기부 모자 스타 그램 임신 중 40대 아줌마 그램 아들 맘 무더위 혜성 잠 이루다 밤 얼굴 있다 태양 아들 안다 셀카 열대야 싫다 
a224 ,기부 영화 보다 시간 애매하다 밥 먹다 증면 사진 찍다 나주 복귀 혼란 빠지다 얼굴 혼란 빠지다 얼굴 
a225 ,중립 한강 다리 밑 영화 라라 랜드 얼굴 있다 태양 무더위 혜성 여의나루 일상 소통 치맥 발 꼬락 손 흔들다 기호 
a226 ,중립 하원 후 놀이터 판교 쿠르트 한잔 무더위 얼굴 있다 하현달 놀다 바쁘다 오늘 주의 
a227 ,중립 일상 부부 여행 손 잡다 남자 여자 먹방 여행 베트남 여행 다낭 쇼핑 스타 그램 시장 반미 샌드위치 코코넛 커피 뜨겁다 음료 낙엽수 맛집 탐방 먹방 스타 그램 맛스타 그램 먹스 그램 힐링 타임 묘목 소통 손 들다 여자 
a228 ,중립 신혼 여행 태국 방콕 코사무이 1일 차 경 끼 카오산 거리 새우볶음 밥 새우튀김 
a229 ,중립 백일홍 축제 벼 이삭 무더위 얼굴 있다 하현달 꽃 
a230 ,중립 남편 손 잡다 남자 여자 무더위 혜성 
a231 ,중립 군대 면회 좋다 제스처 여자 4년 부 친구 무더위 혜성 항공 서비스 학과 스튜어디스 스튜어드 꿈 
a232 ,중립 무등산 양 떼다 목장 숫양 무더위 얼굴 있다 하현달 양띠 아기 현실 개띠 
a233 ,중립 무더위 혜성 
a234 ,중립 아이스크림 빙수 여름 빙수 아이스크림 무더위 혜성 먹스 그램 일상 그램 
a235 ,중립 무더위 혜성 털 뽑다 시바견 토모 기비 샷 견 집사 땀 
a236 ,중립 가족 여행 휴가 통영 장사도 똥 손 풍경 샷 일탈 무더위 혜성 
a237 ,중립 하다 선유도 선유도 선유 해수욕장 우산 있다 해변 휴가 무더위 혜성 
a238 ,황홀 에어컨 바람 극 세사 이불 최고 엄지 올리다 손 기호 
a239 ,황홀 분위기 치다 커피 마시다 열대야 낙엽수 
a240 ,황홀 여기 천국 에어컨 술 협조 서동민 집 
a241 ,황홀 방 피곤 모르다 멋지다 곳 녹음 짙다 태백 놀러가다 좋다 
a242 ,황홀 집 앞 곳 있다 것 최고 엄지 올리다 손 기호 
a243 ,황홀 아끼다 후배 동준 가게 한잔 메뉴 있다 고기 먹다 대박 나라 열대야 낙엽수 금다 밤 불앞 땀 흘리다 오랫만 
a244 ,황홀 휴가 중 우리 딸 에어컨 켜다 디비 눕다 웃다 흰색 얼굴 천국 기쁨 눈물 흘리다 얼굴 오랜만 여유 만끽 열대야 낙엽수 
a245 ,황홀 일상 여름밤 열대야 낙엽수 맥주 나 윗동네 좋다 웃다 흰색 얼굴 
a246 ,황홀 수원 카페 열대야 낙엽수 쑥 라떼 먹다 거 사다 예비 신부 지니다 사포 쓰다 신부 
a247 ,기대 감사 까페 둘리다 께 
a248 ,기대 넘다 덥다 여름밤 오늘 방문 닫다 에어컨 하다 틀다 거실 자다 좋다 좋다 하트 열대야 낙엽수 끄다 
a249 ,기대 한국 검은색 하트 
a250 ,기대 나 하다 갬 성남 충 왕팔이 작가 저기 찍다 입 벌리다 식은땀 흘리다 웃다 얼굴 입 벌리다 식은땀 흘리다 웃다 얼굴 입 벌리다 식은땀 흘리다 웃다 얼굴 수원역 열대야 낙엽수 매니아 딸기 라떼 딸기 
a251 ,중립 에어컨 틀다 버티다 전기세 엄마 부담 
a252 ,기대 여기 고압 전류 기호 실외 멋지다 야라 아쉽다 가을 오다 검은색 하트 
a253 ,기대 야밤 열대야 피하다 덥다 입 벌리다 식은땀 흘리다 웃다 얼굴 
a254 ,기대 덥다 밤 운동 작심 노노 열대야 낙엽수 
a255 ,기대 안산 이스라 떼 한잔 해요 
a256 ,기대 출발 여행 출발 비행기 열대야 낙엽수 야자수 망고 기다리다 신나 
a257 ,기대 코미야 덥다 코미야 엄마 너 델다 산책 가다 마르다 산책 가다 선선 
a258 ,기대 덥다 그렇다 밤 월미도 사람 낫다 바래다 손 모으다 사람 밝다 살색 
